ruta,horario,capacidadTotal,capacidadUsada,capacidadRestante,contadorEnvios,envios
Santa Cruz,08:00,10000,15,9985,1,
Santa Cruz,19:00,10000,20,9980,1,
Santa Cruz,20:00,10000,0,10000,0,
Santa Cruz,21:00,10000,30,9970,1,
Santa Cruz,21:30,10000,0,10000,0,
Cochabamba,07:30,10000,8.5,9991.5,1,
Cochabamba,10:00,10000,75,9925,1,
Cochabamba,11:30,10000,0,10000,0,
Cochabamba,16:00,10000,0,10000,0,
Cochabamba,21:00,10000,55,9945,1,
Cochabamba,21:30,10000,0,10000,0,
Cochabamba,22:00,10000,0,10000,0,
Cochabamba,22:30,10000,0,10000,0,
Sucre,18:00,10000,42,9958,1,
Sucre,22:00,10000,0,10000,0,
Tarija,14:00,10000,5,9995,1,
Tarija,17:00,10000,0,10000,0,
Tarija,20:00,10000,0,10000,0,
Cobija,15:00,10000,3.5,9996.5,1,
Cobija,20:30,10000,0,10000,0,
Trinidad,15:00,10000,0,10000,0,
Trinidad,21:00,10000,0,10000,0,
Trinidad,22:00,10000,0,10000,0,
Oruro,07:30,10000,10,9990,1,
Oruro,10:30,10000,0,10000,0,
Oruro,13:30,10000,0,10000,0,
Oruro,15:30,10000,0,10000,0,
Oruro,17:30,10000,0,10000,0,
